Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.49      1.13     1.13   848146     0.00     0.00  comp_delta_td_cost
 15.22      2.06     0.93 12629702     0.00     0.00  get_non_updateable_bb
 13.42      2.88     0.82 25584958     0.00     0.00  comp_td_point_to_point_delay
  9.98      3.49     0.61   848146     0.00     0.00  find_affected_nets
  9.00      4.04     0.55   869998     0.00     0.00  try_swap
  8.67      4.57     0.53 18463104     0.00     0.00  get_seg_start
  5.40      4.90     0.33 15637785     0.00     0.00  get_net_cost
  4.26      5.16     0.26   386965     0.00     0.00  update_td_cost
  3.60      5.38     0.22    68548     0.00     0.00  label_wire_muxes
  2.62      5.54     0.16 18254940     0.00     0.00  get_seg_end
  1.80      5.65     0.11  3008047     0.00     0.00  update_bb
  0.65      5.69     0.04   315200     0.00     0.00  get_bb_from_scratch
  0.49      5.72     0.03  3022684     0.00     0.00  my_irand
  0.49      5.75     0.03   848146     0.00     0.00  assess_swap
  0.49      5.78     0.03    30888     0.00     0.00  label_wire_muxes_for_balance
  0.49      5.81     0.03      124     0.00     0.00  load_net_slack
  0.49      5.84     0.03       15     0.00     0.00  recompute_bb_cost
  0.33      5.86     0.02  1421350     0.00     0.00  get_rr_node_index
  0.33      5.88     0.02   869998     0.00     0.00  find_to
  0.33      5.90     0.02   222559     0.00     0.00  get_timing_driven_expected_cost
  0.33      5.92     0.02   217602     0.00     0.00  get_expected_segs_to_target
  0.33      5.94     0.02      110     0.00     0.00  build_rr_ychan
  0.33      5.96     0.02        1     0.02     0.02  add_rr_graph_C_from_switches
  0.33      5.98     0.02        1     0.02     0.02  sync_nets_to_blocks
  0.16      5.99     0.01   638248     0.00     0.00  my_frand
  0.16      6.00     0.01   222559     0.00     0.00  node_to_heap
  0.16      6.01     0.01   222082     0.00     0.00  get_rr_cong_cost
  0.16      6.02     0.01    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.16      6.03     0.01    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.16      6.04     0.01    15972     0.00     0.00  get_track_to_ipins
  0.16      6.05     0.01    11821     0.00     0.00  min_dist_from_mst
  0.16      6.06     0.01     1120     0.00     0.00  get_unidir_opin_connections
  0.16      6.07     0.01      510     0.00     0.00  get_net_wirelength_estimate
  0.16      6.08     0.01      477     0.00     0.00  empty_heap
  0.16      6.09     0.01      110     0.00     0.00  build_rr_xchan
  0.16      6.10     0.01        1     0.01     0.01  alloc_sblock_pattern_lookup
  0.16      6.11     0.01                             restore_region_occ
  0.00      6.11     0.00   383841     0.00     0.00  my_malloc
  0.00      6.11     0.00   220989     0.00     0.00  add_to_heap
  0.00      6.11     0.00   220989     0.00     0.00  alloc_heap_data
  0.00      6.11     0.00   220989     0.00     0.00  free_heap_data
  0.00      6.11     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      6.11     0.00   166056     0.00     0.00  is_sbox
  0.00      6.11     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      6.11     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      6.11     0.00    58080     0.00     0.00  vpr_to_phy_track
  0.00      6.11     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      6.11     0.00    29040     0.00     0.00  is_cbox
  0.00      6.11     0.00    22465     0.00     0.00  get_heap_head
  0.00      6.11     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      6.11     0.00    20292     0.00     0.00  check_node
  0.00      6.11     0.00    20292     0.00     0.00  check_pass_transistors
  0.00      6.11     0.00    19634     0.00     0.00  IsWhitespace
  0.00      6.11     0.00    19577     0.00     0.00  timing_driven_expand_neighbours
  0.00      6.11     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      6.11     0.00    19536     0.00     0.00  alloc_linked_f_pointer
  0.00      6.11     0.00    13068     0.00     0.00  find_label_of_track
  0.00      6.11     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      6.11     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      6.11     0.00     4966     0.00     0.00  is_opin
  0.00      6.11     0.00     4742     0.00     0.00  check_subblock_pin
  0.00      6.11     0.00     4627     0.00     0.00  alloc_rt_node
  0.00      6.11     0.00     4627     0.00     0.00  alloc_trace_data
  0.00      6.11     0.00     4627     0.00     0.00  free_rt_node
  0.00      6.11     0.00     4627     0.00     0.00  free_trace_data
  0.00      6.11     0.00     4150     0.00     0.00  alloc_linked_rt_edge
  0.00      6.11     0.00     4150     0.00     0.00  free_linked_rt_edge
  0.00      6.11     0.00     3774     0.00     0.00  my_atoi
  0.00      6.11     0.00     3302     0.00     0.00  FreeTokens
  0.00      6.11     0.00     3287     0.00     0.00  CountTokens
  0.00      6.11     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      6.11     0.00     1359     0.00     0.00  my_strdup
  0.00      6.11     0.00      956     0.00     0.00  get_first_pin
  0.00      6.11     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      6.11     0.00      649     0.00     0.00  hash_value
  0.00      6.11     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      6.11     0.00      551     0.00     0.00  ezxml_decode
  0.00      6.11     0.00      511     0.00     0.00  build_block_output_tnode
  0.00      6.11     0.00      511     0.00     0.00  check_connections_to_global_fb_pins
  0.00      6.11     0.00      511     0.00     0.00  get_mst_of_net
  0.00      6.11     0.00      479     0.00     0.00  free_traceback
  0.00      6.11     0.00      478     0.00     0.00  assign_locations
  0.00      6.11     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      6.11     0.00      477     0.00     0.00  add_path_to_route_tree
  0.00      6.11     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      6.11     0.00      477     0.00     0.00  add_to_sort_heap
  0.00      6.11     0.00      477     0.00     0.00  assign_blocks_and_route_net
  0.00      6.11     0.00      477     0.00     0.00  free_route_tree
  0.00      6.11     0.00      477     0.00     0.00  get_top_of_heap_index
  0.00      6.11     0.00      477     0.00     0.00  heapsort
  0.00      6.11     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      6.11     0.00      477     0.00     0.00  load_new_path_R_upstream
  0.00      6.11     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      6.11     0.00      477     0.00     0.00  mark_ends
  0.00      6.11     0.00      477     0.00     0.00  reset_path_costs
  0.00      6.11     0.00      477     0.00     0.00  timing_driven_route_net
  0.00      6.11     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      6.11     0.00      477     0.00     0.00  update_route_tree
  0.00      6.11     0.00      477     0.00     0.00  update_rr_base_costs
  0.00      6.11     0.00      477     0.00     0.00  update_traceback
  0.00      6.11     0.00      477     0.00     0.00  update_unbuffered_ancestors_C_downstream
  0.00      6.11     0.00      440     0.00     0.00  label_incoming_wires
  0.00      6.11     0.00      437     0.00     0.00  alloc_matrix
  0.00      6.11     0.00      431     0.00     0.00  ezxml_char_content
  0.00      6.11     0.00      430     0.00     0.00  free_matrix
  0.00      6.11     0.00      414     0.00     0.00  get_type_by_name
  0.00      6.11     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      6.11     0.00      226     0.00     0.00  CountTokensInString
  0.00      6.11     0.00      223     0.00     0.00  ezxml_set_flag
  0.00      6.11     0.00      222     0.00     0.00  FreeNode
  0.00      6.11     0.00      222     0.00     0.00  ezxml_close_tag
  0.00      6.11     0.00      222     0.00     0.00  ezxml_cut
  0.00      6.11     0.00      222     0.00     0.00  ezxml_free
  0.00      6.11     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      6.11     0.00      222     0.00     0.00  ezxml_open_tag
  0.00      6.11     0.00      221     0.00     0.00  CheckElement
  0.00      6.11     0.00      221     0.00     0.00  ezxml_add_child
  0.00      6.11     0.00      221     0.00     0.00  ezxml_insert
  0.00      6.11     0.00      220     0.00     0.00  rr_node_is_global_clb_ipin
  0.00      6.11     0.00      183     0.00     0.00  FindProperty
  0.00      6.11     0.00      183     0.00     0.00  ezxml_attr
  0.00      6.11     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      6.11     0.00      173     0.00     0.00  GetNodeTokens
  0.00      6.11     0.00      171     0.00     0.00  my_calloc
  0.00      6.11     0.00      144     0.00     0.00  build_rr_sinks_sources
  0.00      6.11     0.00      144     0.00     0.00  build_unidir_rr_opins
  0.00      6.11     0.00      139     0.00     0.00  comp_td_costs
  0.00      6.11     0.00      139     0.00     0.00  get_next_hash
  0.00      6.11     0.00      138     0.00     0.00  build_fb_tnodes
  0.00      6.11     0.00      138     0.00     0.00  build_subblock_tnodes
  0.00      6.11     0.00      138     0.00     0.00  check_fb_conn
  0.00      6.11     0.00      138     0.00     0.00  check_fb_to_subblock_connections
  0.00      6.11     0.00      138     0.00     0.00  check_internal_subblock_connections
  0.00      6.11     0.00      138     0.00     0.00  check_subblocks
  0.00      6.11     0.00      138     0.00     0.00  get_num_conn
  0.00      6.11     0.00      125     0.00     0.00  ezxml_set_attr
  0.00      6.11     0.00      124     0.00     0.00  compute_net_slacks
  0.00      6.11     0.00      124     0.00     0.00  load_timing_graph_net_delays
  0.00      6.11     0.00      123     0.00     0.00  get_std_dev
  0.00      6.11     0.00      123     0.00     0.00  load_criticalities
  0.00      6.11     0.00      123     0.00     0.00  update_screen
  0.00      6.11     0.00      122     0.00     0.00  exit_crit
  0.00      6.11     0.00      121     0.00     0.00  load_sblock_pattern_lookup
  0.00      6.11     0.00      121     0.00     0.00  update_rlim
  0.00      6.11     0.00      121     0.00     0.00  update_t
  0.00      6.11     0.00       57     0.00     0.00  alloc_ivector_and_copy_int_list
  0.00      6.11     0.00       56     0.00     0.00  find_type_col
  0.00      6.11     0.00       43     0.00     0.00  ezxml_child
  0.00      6.11     0.00       41     0.00     0.00  FindElement
  0.00      6.11     0.00       36     0.00     0.00  comp_width
  0.00      6.11     0.00       33     0.00     0.00  is_global_clock
  0.00      6.11     0.00        7     0.00     0.00  CountChildren
  0.00      6.11     0.00        6     0.00     0.00  CheckGrid
  0.00      6.11     0.00        6     0.00     0.00  ParseFc
  0.00      6.11     0.00        6     0.00     0.00  alloc_and_load_grid
  0.00      6.11     0.00        6     0.00     0.00  insert_in_vptr_list
  0.00      6.11     0.00        5     0.00     0.00  alloc_matrix3
  0.00      6.11     0.00        5     0.00     0.00  freeGrid
  0.00      6.11     0.00        5     0.00     0.00  my_realloc
  0.00      6.11     0.00        4     0.00     0.00  free_chunk_memory
  0.00      6.11     0.00        4     0.00     0.00  free_matrix3
  0.00      6.11     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      6.11     0.00        3     0.00     0.00  ProcessOption
  0.00      6.11     0.00        3     0.00     0.00  Process_Fc
  0.00      6.11     0.00        3     0.00     0.00  ReadBaseToken
  0.00      6.11     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      6.11     0.00        3     0.00     0.00  alloc_and_load_track_to_pin_lookup
  0.00      6.11     0.00        3     0.00     0.00  free_ivec_vector
  0.00      6.11     0.00        3     0.00     0.00  free_matrix4
  0.00      6.11     0.00        3     0.00     0.01  generic_compute_matrix
  0.00      6.11     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      6.11     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      6.11     0.00        2     0.00     0.00  ProcessSubblocks
  0.00      6.11     0.00        2     0.00     0.00  ProcessTypeProps
  0.00      6.11     0.00        2     0.00     0.00  SetupClassInf
  0.00      6.11     0.00        2     0.00     0.00  SetupGridLocations
  0.00      6.11     0.00        2     0.00     0.00  SetupPinClasses
  0.00      6.11     0.00        2     0.00     0.00  SetupPinLocations
  0.00      6.11     0.00        2     0.00     0.00  SetupSubblocksTSeq
  0.00      6.11     0.00        2     0.00     0.00  SetupSubblocksTcomb
  0.00      6.11     0.00        2     0.00     0.00  SetupTypeTiming
  0.00      6.11     0.00        2     0.00     0.00  alloc_and_load_actual_fc
  0.00      6.11     0.00        2     0.00     0.00  alloc_hash_table
  0.00      6.11     0.00        2     0.00     0.00  alloc_matrix4
  0.00      6.11     0.00        2     0.00     0.00  check_all_tracks_reach_pins
  0.00      6.11     0.00        2     0.00     0.01  comp_bb_cost
  0.00      6.11     0.00        2     0.00     0.00  free_hash_table
  0.00      6.11     0.00        2     0.00     0.00  free_rr_graph
  0.00      6.11     0.00        2     0.00     0.00  init_chan
  0.00      6.11     0.00        2     0.00     0.00  load_chan_rr_indices
  0.00      6.11     0.00        2     0.00     0.00  load_rr_indexed_data_T_values
  0.00      6.11     0.00        2     0.00     0.00  load_uniform_switch_pattern
  0.00      6.11     0.00        2     0.00     0.00  my_fopen
  0.00      6.11     0.00        1     0.00     0.00  CheckArch
  0.00      6.11     0.00        1     0.00     0.00  CheckOptions
  0.00      6.11     0.00        1     0.00     0.00  CheckSegments
  0.00      6.11     0.00        1     0.00     0.00  CheckSetup
  0.00      6.11     0.00        1     0.00     0.00  CheckSwitches
  0.00      6.11     0.00        1     0.00     0.00  InitArch
  0.00      6.11     0.00        1     0.00     0.00  IsTimingEnabled
  0.00      6.11     0.00        1     0.00     0.00  PrintTitle
  0.00      6.11     0.00        1     0.00     0.00  ProcessChanWidthDistr
  0.00      6.11     0.00        1     0.00     0.00  ProcessDevice
  0.00      6.11     0.00        1     0.00     0.00  ProcessIO
  0.00      6.11     0.00        1     0.00     0.00  ProcessLayout
  0.00      6.11     0.00        1     0.00     0.00  ProcessSegments
  0.00      6.11     0.00        1     0.00     0.00  ProcessSwitches
  0.00      6.11     0.00        1     0.00     0.00  ProcessTypes
  0.00      6.11     0.00        1     0.00     0.00  ReadInt
  0.00      6.11     0.00        1     0.00     0.00  ReadOptions
  0.00      6.11     0.00        1     0.00     0.00  SetupAnnealSched
  0.00      6.11     0.00        1     0.00     0.00  SetupEmptyType
  0.00      6.11     0.00        1     0.00     0.00  SetupOperation
  0.00      6.11     0.00        1     0.00     0.00  SetupPlacerOpts
  0.00      6.11     0.00        1     0.00     0.00  SetupRouterOpts
  0.00      6.11     0.00        1     0.00     0.00  SetupRoutingArch
  0.00      6.11     0.00        1     0.00     0.00  SetupSwitches
  0.00      6.11     0.00        1     0.00     0.00  SetupTiming
  0.00      6.11     0.00        1     0.00     0.02  SetupVPR
  0.00      6.11     0.00        1     0.00     0.00  ShowAnnealSched
  0.00      6.11     0.00        1     0.00     0.00  ShowOperation
  0.00      6.11     0.00        1     0.00     0.00  ShowPlacerOpts
  0.00      6.11     0.00        1     0.00     0.00  ShowRoutingArch
  0.00      6.11     0.00        1     0.00     0.00  ShowSetup
  0.00      6.11     0.00        1     0.00     0.00  XmlReadArch
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_assign_internal_structures
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_clb_opins_used_locally
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_fanout_counts
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_for_fast_cost_update
